Rank,Title,Year,Runtime,Certificate,IMDb Rating,Votes
90,Once Upon a Time in America,N/A,N/A,N/A,8.3, (409K)
91,Star Wars: Episode VI - Return of the Jedi,N/A,N/A,N/A,8.3, (1.2M)
92,Come and See,N/A,N/A,N/A,8.3, (123K)
93,Toy Story 3,N/A,N/A,N/A,8.3, (972K)
94,Requiem for a Dream,N/A,N/A,N/A,8.3, (975K)
95,Ikiru,N/A,N/A,N/A,8.3, (102K)
96,The Hunt,N/A,N/A,N/A,8.3, (410K)
97,Incendies,N/A,N/A,N/A,8.3, (252K)
98,Eternal Sunshine of the Spotless Mind,N/A,N/A,N/A,8.3, (1.2M)
99,The Apartment,N/A,N/A,N/A,8.3, (220K)
100,Lawrence of Arabia,N/A,N/A,N/A,8.3, (342K)
101,Heat,N/A,N/A,N/A,8.3, (805K)
102,Scarface,N/A,N/A,N/A,8.3, (1M)
103,Reservoir Dogs,N/A,N/A,N/A,8.3, (1.2M)
104,2001: A Space Odyssey,N/A,N/A,N/A,8.3, (784K)
105,Up,N/A,N/A,N/A,8.3, (1.2M)
106,Double Indemnity,N/A,N/A,N/A,8.3, (182K)
107,North by Northwest,N/A,N/A,N/A,8.3, (369K)
108,Like Stars on Earth,N/A,N/A,N/A,8.3, (233K)
109,Full Metal Jacket,N/A,N/A,N/A,8.2, (851K)
110,M,N/A,N/A,N/A,8.3, (183K)
111,Amélie,N/A,N/A,N/A,8.3, (841K)
112,A Separation,N/A,N/A,N/A,8.3, (278K)
113,Citizen Kane,N/A,N/A,N/A,8.2, (493K)
114,Vertigo,N/A,N/A,N/A,8.2, (459K)
115,Die Hard,N/A,N/A,N/A,8.2, (1M)
116,To Kill a Mockingbird,N/A,N/A,N/A,8.2, (351K)
117,Indiana Jones and the Last Crusade,N/A,N/A,N/A,8.2, (864K)
118,The Sting,N/A,N/A,N/A,8.2, (302K)
119,A Clockwork Orange,N/A,N/A,N/A,8.2, (937K)
120,Metropolis,N/A,N/A,N/A,8.2, (201K)
121,1917,N/A,N/A,N/A,8.2, (773K)
122,I Swear,N/A,N/A,N/A,8.4, (47K)
123,Snatch,N/A,N/A,N/A,8.2, (977K)
124,The Wolf of Wall Street,N/A,N/A,N/A,8.2, (1.8M)
125,Downfall,N/A,N/A,N/A,8.2, (401K)
126,The Truman Show,N/A,N/A,N/A,8.2, (1.4M)
L.A,Confidential,N/A,N/A,N/A,8.2, (659K)
128,Project Hail Mary,N/A,N/A,N/A,8.3, (335K)
129,Dangal,N/A,N/A,N/A,8.3, (244K)
130,Bicycle Thieves,N/A,N/A,N/A,8.2, (192K)
131,Shutter Island,N/A,N/A,N/A,8.2, (1.7M)
132,Green Book,N/A,N/A,N/A,8.2, (688K)
133,Oppenheimer,N/A,N/A,N/A,8.2, (1M)
134,Judgment at Nuremberg,N/A,N/A,N/A,8.3, (97K)
135,Batman Begins,N/A,N/A,N/A,8.2, (1.7M)
136,Jurassic Park,N/A,N/A,N/A,8.2, (1.2M)
137,Hamilton,N/A,N/A,N/A,8.3, (140K)
138,For a Few Dollars More,N/A,N/A,N/A,8.2, (300K)
139,Taxi Driver,N/A,N/A,N/A,8.2, (1M)
140,Some Like It Hot,N/A,N/A,N/A,8.2, (305K)
141,There Will Be Blood,N/A,N/A,N/A,8.2, (710K)
142,Attack on Titan: The Last Attack,N/A,N/A,N/A,9.0, (30K)
143,The Father,N/A,N/A,N/A,8.2, (246K)
144,The Kid,N/A,N/A,N/A,8.2, (146K)
145,All About Eve,N/A,N/A,N/A,8.2, (149K)
146,The Sixth Sense,N/A,N/A,N/A,8.2, (1.1M)
147,Ran,N/A,N/A,N/A,8.2, (152K)
148,Casino,N/A,N/A,N/A,8.2, (621K)
149,No Country for Old Men,N/A,N/A,N/A,8.2, (1.2M)
150,The Thing,N/A,N/A,N/A,8.2, (527K)
151,Prisoners,N/A,N/A,N/A,8.2, (938K)
152,Top Gun: Maverick,N/A,N/A,N/A,8.2, (875K)
Kill Bill: Vol,1,N/A,N/A,N/A,8.2, (1.3M)
154,Pan's Labyrinth,N/A,N/A,N/A,8.2, (747K)
155,Unforgiven,N/A,N/A,N/A,8.2, (469K)
156,A Beautiful Mind,N/A,N/A,N/A,8.2, (1.1M)
157,Howl's Moving Castle,N/A,N/A,N/A,8.2, (513K)
158,The Treasure of the Sierra Madre,N/A,N/A,N/A,8.2, (142K)
159,Finding Nemo,N/A,N/A,N/A,8.2, (1.2M)
160,Klaus,N/A,N/A,N/A,8.2, (238K)
161,Yojimbo,N/A,N/A,N/A,8.2, (143K)
162,The Elephant Man,N/A,N/A,N/A,8.2, (282K)
163,The Great Escape,N/A,N/A,N/A,8.2, (278K)
164,Monty Python and the Holy Grail,N/A,N/A,N/A,8.1, (604K)
165,Demon Slayer: Kimetsu No Yaiba Infinity Castle,N/A,N/A,N/A,8.4, (72K)
166,Dial M for Murder,N/A,N/A,N/A,8.1, (205K)
167,The Secret in Their Eyes,N/A,N/A,N/A,8.2, (243K)
168,Gone with the Wind,N/A,N/A,N/A,8.2, (356K)
169,"Lock, Stock and Two Smoking Barrels",N/A,N/A,N/A,8.1, (650K)
170,Chinatown,N/A,N/A,N/A,8.1, (377K)
171,The Best of Youth,N/A,N/A,N/A,8.4, (28K)
172,V for Vendetta,N/A,N/A,N/A,8.1, (1.2M)
173,Catch Me If You Can,N/A,N/A,N/A,8.1, (1.2M)
174,Inside Out,N/A,N/A,N/A,8.1, (917K)
175,Trainspotting,N/A,N/A,N/A,8.1, (769K)
176,"Three Billboards Outside Ebbing, Missouri",N/A,N/A,N/A,8.1, (609K)
177,Rashomon,N/A,N/A,N/A,8.1, (197K)
178,Dead Poets Society,N/A,N/A,N/A,8.1, (655K)
179,The Bridge on the River Kwai,N/A,N/A,N/A,8.1, (249K)
180,Harry Potter and the Deathly Hallows: Part 2,N/A,N/A,N/A,8.1, (1M)
181,The Wild Robot,N/A,N/A,N/A,8.2, (226K)
182,Barry Lyndon,N/A,N/A,N/A,8.1, (205K)
183,Warrior,N/A,N/A,N/A,8.1, (529K)
184,Ben-Hur,N/A,N/A,N/A,8.1, (272K)
185,Fargo,N/A,N/A,N/A,8.1, (788K)
186,Million Dollar Baby,N/A,N/A,N/A,8.1, (767K)
187,Mad Max: Fury Road,N/A,N/A,N/A,8.1, (1.2M)
188,Hacksaw Ridge,N/A,N/A,N/A,8.1, (683K)
189,Children of Heaven,N/A,N/A,N/A,8.2, (90K)
190,Raging Bull,N/A,N/A,N/A,8.1, (411K)
191,My Neighbor Totoro,N/A,N/A,N/A,8.1, (432K)
192,Gran Torino,N/A,N/A,N/A,8.1, (863K)
193,Ratatouille,N/A,N/A,N/A,8.1, (946K)
194,12 Years a Slave,N/A,N/A,N/A,8.1, (788K)
195,The Grand Budapest Hotel,N/A,N/A,N/A,8.1, (973K)
196,Memories of Murder,N/A,N/A,N/A,8.1, (268K)
197,Before Sunrise,N/A,N/A,N/A,8.1, (378K)
